1,Halvorson Kris and Cruickshank,WOMENFASHON,18.222,142.008
2,Kautzer Lesch and Reichel,CHILDFASHON,86.917,147.968
3,O'Hara Group,CHILDFASHON,20.159,138.037
4,Ritchie-Treutel,KITCHENUTILITIES,82.888,127.453
5,MacGyver Larson and Donnelly,WOMENFASHON,14.673,147.303
6,Hills and Sons,MENFASHON,18.497,120.888
7,Wiza Wolf and Bayer,CHILDFASHON,12.54,147.635
8,Stokes Inc,CHILDFASHON,34.044,126.756
9,Botsford Schaden and Turcotte,MENFASHON,82.717,128.816
10,Swaniawski-Kub,CHILDFASHON,66.12,148.571
11,O'Hara Inc,HOUSEHOLDS,64.475,147.158
12,Zieme Wolf and Heathcote,WOMENFASHON,52.338,131.348
13,Toy-Rohan,KITCHENUTILITIES,78.537,147.737
14,Leffler-Gottlieb,WOMENFASHON,72.086,104.673
15,Quigley Inc,HOUSEHOLDS,18.774,129.85
16,Corwin Borer and Brekke,HOUSEHOLDS,65.148,122.446
17,Zieme Mitchell and Terry,MENFASHON,89.379,138.848
18,Heathcote Cartwright and Senger,MENFASHON,30.969,107.454
19,Watsica Inc,KITCHENUTILITIES,57.587,119.104
20,Boyle Dach and Ferry,MENFASHON,37.297,118.26
21,Wisoky Group,WOMENFASHON,63.42,137.698
22,Stamm Turcotte and Tillman,HOUSEHOLDS,56.769,133.915
23,Stroman and Sons,MENFASHON,91.156,147.911
24,Connelly-Ratke,MENFASHON,1.039,102.871
25,Cartwright-Altenwerth,KITCHENUTILITIES,57.547,118.086
26,Stehr Group,KITCHENUTILITIES,93.033,105.308
27,Johns Moore and Bahringer,MENFASHON,12.578,100.617
28,Wunsch and Sons,HOUSEHOLDS,49.683,142.389
29,Flatley Collier and Runolfsdottir,WOMENFASHON,85.816,127.499
30,Schroeder-Boehm,MENFASHON,74.273,142.685
31,Schaefer Ritchie and Daniel,MENFASHON,33.438,144.481
32,Harvey-Roberts,MENFASHON,82.142,120.744
33,Jacobson-Romaguera,MENFASHON,56.7,134.4
34,Pagac LLC,MENFASHON,80.864,122.181
35,Hilll Haley and Pacocha,HOUSEHOLDS,33.842,119.307
36,Green and Sons,CHILDFASHON,49.599,100.46
37,Beatty Heathcote and Ledner,KITCHENUTILITIES,89.368,123.575
38,Legros Group,KITCHENUTILITIES,24.241,108.907
39,Gottlieb O'Kon and Wolf,CHILDFASHON,83.496,149.3
40,Grant Inc,KITCHENUTILITIES,72.932,149.913
41,Kirlin-Powlowski,HOUSEHOLDS,89.003,104.412
42,Johns Willms and Hudson,HOUSEHOLDS,36.5,132.603
43,Powlowski LLC,CHILDFASHON,24.883,142.481
44,Reilly-Ortiz,WOMENFASHON,38.994,144.354
45,Predovic Streich and Jones,HOUSEHOLDS,4.069,109.604
46,Schultz-Jenkins,HOUSEHOLDS,96.319,143.116
47,Cormier Inc,KITCHENUTILITIES,78.28,107.682
48,McLaughlin-Bergnaum,MENFASHON,4.106,125.079
49,Macejkovic Group,MENFASHON,2.069,101.023
50,Dare-Kirlin,CHILDFASHON,67.368,101.296
51,Koelpin Group,KITCHENUTILITIES,2.627,113.048
52,Blick-Gibson,MENFASHON,67.791,102.366
53,Ernser Group,WOMENFASHON,74.497,127.26
54,Trantow-Rodriguez,HOUSEHOLDS,58.613,110.23
55,Leffler LLC,CHILDFASHON,6.009,106.095
56,Reynolds-Lind,WOMENFASHON,29.638,148.749
57,Raynor LLC,MENFASHON,21.221,136.138
58,Ziemann-Nienow,HOUSEHOLDS,19.044,125.988
59,Schultz-Emmerich,MENFASHON,90.127,122.638
60,Upton-Beatty,CHILDFASHON,14.055,137.998
61,Blick-Rohan,WOMENFASHON,65.191,116.152
62,Hodkiewicz-Boyer,WOMENFASHON,54.947,129.342
63,Hegmann and Sons,MENFASHON,50.156,108.287
64,Hegmann Inc,CHILDFASHON,85.628,148.008
65,Morar-Okuneva,KITCHENUTILITIES,10.225,125.799
66,Kiehn Group,WOMENFASHON,83.33,143.689
67,Davis Howell and O'Reilly,MENFASHON,74.178,121.874
68,Kuhlman Huels and Gottlieb,KITCHENUTILITIES,76.405,131.458
69,Ruecker Group,WOMENFASHON,27.838,119.182
70,Kub Altenwerth and Homenick,HOUSEHOLDS,91.609,147.854
71,Rath-Rowe,HOUSEHOLDS,9.518,122.217
72,Breitenberg Group,CHILDFASHON,26.253,125.358
73,Schmeler-McDermott,MENFASHON,64.126,100.662
74,Simonis Braun and Collins,HOUSEHOLDS,48.11,137.874
75,Watsica and Sons,MENFASHON,21.874,106.165
76,Hermiston Daniel and Pfeffer,WOMENFASHON,95.992,135.736
77,Tromp Johnson and Blick,HOUSEHOLDS,21.472,137.925
78,Stokes-Abshire,KITCHENUTILITIES,87.764,104.085
79,Corwin Inc,WOMENFASHON,55.708,141.693
80,Lebsack Rodriguez and Ritchie,CHILDFASHON,83.179,135.143
81,Wiegand Okuneva and Fadel,KITCHENUTILITIES,46.28,138.372
82,Bashirian Murphy and Crist,KITCHENUTILITIES,8.926,141.99
83,Torp and Sons,KITCHENUTILITIES,3.565,127.59
84,Rau Bode and Gibson,WOMENFASHON,5.556,124.766
85,Lubowitz Bayer and Howell,CHILDFASHON,69.355,141.434
86,McGlynn-Johnson,CHILDFASHON,37.142,128.333
87,Parker Pacocha and Dickinson,HOUSEHOLDS,64.259,124.67
88,Johns Konopelski and Vandervort,MENFASHON,46.826,134.182
89,Crooks Crist and Hudson,CHILDFASHON,81.423,119.786
90,Homenick Abbott and McGlynn,WOMENFASHON,98.573,143.653
91,Hammes and Sons,MENFASHON,39.698,134.286
92,Roberts Jakubowski and Tromp,WOMENFASHON,26.733,112.513
93,Doyle-Baumbach,MENFASHON,78.945,125.035
94,Pollich-Dietrich,MENFASHON,22.424,126.362
95,Sporer LLC,MENFASHON,81.679,116.309
96,Powlowski-Herzog,HOUSEHOLDS,2.487,140.715
97,Wolf-Sawayn,KITCHENUTILITIES,34.889,139.875
98,Maggio-McLaughlin,CHILDFASHON,92.742,110.209
99,Watsica-Zulauf,MENFASHON,20.155,138.712
100,Reynolds Group,MENFASHON,2.087,122.827
101,Kemmer Smith and Heathcote,HOUSEHOLDS,22.667,138.799
